hotel_name,location,price,rating,score,review,link
De Amour - A Dreamy Getaway in Anjuna,Anjuna,"₹ 2,579",Good,7.7,23 reviews,https://www.booking.com/hotel/in/de-amour-anjuna1.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=776838702_394737653_2_0_0&highlighted_blocks=776838702_394737653_2_0_0&matching_block_id=776838702_394737653_2_0_0&sr_pri_blocks=776838702_394737653_2_0_0__257940&from=searchresults
Treebo Gulmohar Beach Resort with Pool,Calangute,"₹ 2,520",Review score,6.4,81 reviews,https://www.booking.com/hotel/in/gulmohar-beach-resort-and-cottages-calangute.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=846538303_400592849_2_0_0_135876&highlighted_blocks=846538303_400592849_2_0_0_135876&matching_block_id=846538303_400592849_2_0_0_135876&sr_pri_blocks=846538303_400592849_2_0_0_135876_252044&from=searchresults
FabHotel Luminous Beach Resort - Nr Morjim Beach,Morjim,"₹ 1,362",Review score,5.8,14 reviews,https://www.booking.com/hotel/in/elysian-heaven.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1376545602_412831348_0_2_0&highlighted_blocks=1376545602_412831348_0_2_0&matching_block_id=1376545602_412831348_0_2_0&sr_pri_blocks=1376545602_412831348_0_2_0__136200&from=searchresults
Olive Zip Calangute Mira by Embassy Group,Calangute,"₹ 2,156",Very Good,8.0,238 reviews,https://www.booking.com/hotel/in/mira-calangute1.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=725976601_423502204_2_0_0&highlighted_blocks=725976601_423502204_2_0_0&matching_block_id=725976601_423502204_2_0_0&sr_pri_blocks=725976601_423502204_2_0_0__215600&from=searchresults
FabHotel K7 Trends - Nr Calangute Beach,Calangute,"₹ 2,265",Good,7.9,284 reviews,https://www.booking.com/hotel/in/fabhotel-k7-trends-agar-vaddo.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=490669001_410205478_2_2_0_907449&highlighted_blocks=490669001_410205478_2_2_0_907449&matching_block_id=490669001_410205478_2_2_0_907449&sr_pri_blocks=490669001_410205478_2_2_0_907449_226525&from=searchresults
"The Porto by Lagom, Anjuna, Vagator beach",Vagator,"₹ 3,550",Good,7.5,307 reviews,https://www.booking.com/hotel/in/the-porto-vagator.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=706573602_411229591_2_2_0_562969&highlighted_blocks=706573602_411229591_2_2_0_562969&matching_block_id=706573602_411229591_2_2_0_562969&sr_pri_blocks=706573602_411229591_2_2_0_562969_355000&from=searchresults
HOLIDAY LUXURY APARTMENT,Arpora,"₹ 3,500",Review score,6.8,42 reviews,https://www.booking.com/hotel/in/holiday-luxury-apartment.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1055639401_428432448_0_0_0&highlighted_blocks=1055639401_428432448_0_0_0&matching_block_id=1055639401_428432448_0_0_0&sr_pri_blocks=1055639401_428432448_0_0_0__350000&from=searchresults
Calangute Beach Palms,Calangute,"₹ 2,250",Very Good,8.4,34 reviews,https://www.booking.com/hotel/in/baga-beach-avenue-goa1.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=993001201_372252380_2_0_0&highlighted_blocks=993001201_372252380_2_0_0&matching_block_id=993001201_372252380_2_0_0&sr_pri_blocks=993001201_372252380_2_0_0__225000&from=searchresults
Roseal Beach Front,Baga,"₹ 2,400",Very Good,8.4,527 reviews,https://www.booking.com/hotel/in/roseal-beach-front1.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1134888418_387567740_4_2_0&highlighted_blocks=1134888418_387567740_4_2_0&matching_block_id=1134888418_387567740_4_2_0&sr_pri_blocks=1134888418_387567740_4_2_0__240000&from=searchresults
Baga Beach Sea Salacia Wellness And Spa,Goa,"₹ 3,000",Good,7.9,121 reviews,https://www.booking.com/hotel/in/sea-salacia.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au7DlcwGwAIB0gIkMTFiZTlkNWYtMWU1MC00NTI5LWJjZmItZTVjNWQ1YzhkYTBm2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2026-02-22&checkout=2026-02-23&dest_id=4127&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=72432266572c6a42ac0d7112df2f3048&srepoch=1770874425&all_sr_blocks=1336426404_406098301_3_0_0&highlighted_blocks=1336426404_406098301_3_0_0&matching_block_id=1336426404_406098301_3_0_0&sr_pri_blocks=1336426404_406098301_3_0_0__300000&from=searchresults
